Feature,Coefficient
mostrar,0.26213956027320673
infonor,0.2553167820235797
estudio,0.2501060249027167
revisar,0.24512804656536466
novedosa,0.23915397711717176
negativos,0.23470213381855648
buena,0.23336168972544438
presentación,0.22661557499469098
ver,0.22385813273903382
web,0.22298888894810762
un,0.22154237810245206
requisitos,0.21585470412348237
trabajos,0.21558333625256595
encriptación,0.21258994192486028
algoritmos,0.21151990325599335
10,0.20880478567095015
alto,0.20553242095552085
realiza,0.20321310350345376
cuántica,0.20036821612438627
utilizado,0.1946635727574896
interesante,0.19273097249062407
simulación,0.19234153616510835
sería,0.19151450000134623
aparece,0.18921389871840386
nivel,0.18882771174302027
enfoque,0.1860695573639423
debido,0.1805823480289844
dado,0.18026238640426193
autocontenido,0.1784846672171546
propuestas,0.17812224355390952
tema,0.17781523714438874
arquitectura,0.1738337519520676
tipo,0.17274420757387432
relevante,0.17092062157876015
actualidad,0.16973220768519987
desempeño,0.1696168505658776
alguna,0.16820449054726325
frases,0.1672152928032272
través,0.16448004496744906
empírico,0.16303642103164054
ambiente,0.1620037467757447
trata,0.16039011166576225
teoría,0.15973336255737547
referencia,0.15972522228965752
tecnologías,0.15859538871043424
puntuación,0.15609471529712882
párrafo,0.15541133783307334
reglas,0.15465850085229793
metodológicos,0.154564511409217
da,0.1524897096158495
adjunto,0.15115775658910738
logra,0.15043705615420935
cual,0.15016048955422442
tienen,0.14758669239175976
hace,0.14684345201081356
didáctica,0.1455504901795988
concretas,0.14554321747778776
algunas,0.14534145957761918
ecuaciones,0.14529300293504638
establece,0.14268541401796517
cámaras,0.14263438615218824
clara,0.14096774915160895
similares,0.14089277732405853
archivo,0.14043096647022008
trabajar,0.1404215294263781
manera,0.14020189308286843
ideal,0.14019514534192093
material,0.1400051638426155
acerca,0.13906264517252181
tecnológica,0.13850521906115806
fallas,0.13762659237884997
necesarios,0.13714649325695544
sea,0.13687908639663923
particulado,0.1362309658878247
necesita,0.1360452288182444
suficientes,0.1359904690440999
integración,0.13596367029504847
proyectos,0.13471308944103552
prototipo,0.13451881633744683
temática,0.13403658954650594
incorporación,0.13285551489898603
claridad,0.13278820242023887
ambicioso,0.13152083163913383
vinculada,0.13140732665659025
zona,0.13140732665659025
pase,0.13140732665659025
citaciones,0.13140732665659025
adaptarlo,0.13140732665659025
inglés,0.13078485054497585
basado,0.13041921713114996
largas,0.1300095359894441
particular,0.12972439790086354
actuales,0.12790376122798375
realizado,0.1276474750702958
conocimiento,0.1274457284776067
múltiples,0.1272723482448557
perfil,0.1270400113215996
colaboración,0.12668845704954443
modelamiento,0.12623669421096564
tecnológicos,0.12614168332885026
cada,0.12565193172660413
deberían,0.12547751831985998
basadas,0.12509239071178427
asume,0.12483476073550516
dada,0.12465539887638831
polos,0.12446944603658311
ello,0.12443166882791645
debería,0.12424281137345981
lo,0.12399888023024142
por,0.12393210563053009
bien,0.12350381645218818
motivo,0.12233694210739371
especialmente,0.12115817113238961
sensores,0.12112022894430134
número,0.12103182799215437
seleccionaron,0.12095525385019215
llegar,0.12026775279079532
han,0.12019775458366114
siguiendo,0.11959298296563992
mencionando,0.1193986091038513
poner,0.11932168238516529
distintas,0.11898704589533791
comunicaciones,0.11879508888502034
obtener,0.11852209391901855
calidad,0.11848594299245413
claro,0.11789047612398104
considerados,0.11771060529959451
funciones,0.11735223869159767
prueba,0.11680991452205237
conciso,0.11669114963158297
fuzzy,0.11669114963158297
extenderse,0.11669114963158297
menciona,0.11651232734124513
deben,0.11643267127223139
otras,0.11557623295654876
insuficientes,0.11531297572728207
objetivo,0.11479183844762036
discutirlo,0.11442516145051924
links,0.11442516145051924
rigor,0.11421126211362174
dificultades,0.11331227786452944
cambio,0.1130916338791034
ancho,0.11298917996807867
banda,0.11298917996807867
buenos,0.11213006103287344
comportamiento,0.11189373878370647
móviles,0.11179114243996764
entre,0.11121269789975737
futuras,0.11112612127695516
viable,0.11103674853112297
pedido,0.11080901094782546
presentados,0.1098356081452063
recuperación,0.10917151385684008
probar,0.10871857922232418
modelar,0.10843812981127343
redactar,0.10839521452027658
decir,0.10829977593021452
usar,0.10822124216259472
consistente,0.1076524992098835
tercera,0.10745132217388992
hecho,0.10711743553644565
utilizadas,0.10708379435760748
diseño,0.10647772300512023
búsqueda,0.10596285141212314
ciertos,0.10566468981612398
abordar,0.10551098078540135
puede,0.1054978475640286
cuestionable,0.10545496824479172
esto,0.10525803721372279
comerciales,0.10516432385484999
buenas,0.10490954999704251
desde,0.10468241673491085
tal,0.10353604552715122
las,0.10350800821072019
funcionando,0.10328878775134875
selección,0.10304752657545957
detalle,0.10266021606539087
habría,0.10264504313562871
mirada,0.10213885074344746
svm,0.10213582775964357
haberse,0.1020370833522328
previo,0.10201758022682379
explícitamente,0.10194924444929962
sitios,0.10185696013915028
escenario,0.10152761618375984
embargo,0.1005999765021275
plantea,0.1002708421838942
valor,0.10026665591028293
síntesis,0.0994990809135611
publicación,0.09926379368813672
lógico,0.09870941350357605
troncales,0.0986466353219811
juntas,0.0986466353219811
consume,0.0986466353219811
nativa,0.0986466353219811
buen,0.09837350685991006
actual,0.09833336009325157
logro,0.09803783447913353
hipótesis,0.09794099880423482
observa,0.09746126337329145
orientada,0.09700362050557432
apropiado,0.09694347822466234
implementa,0.09681102151249658
induce,0.09680544459231981
ámbito,0.0967844193752068
conclusiones,0.09677093191294087
con,0.09672139215679047
dimensión,0.09671516601409628
agentes,0.09634233045283112
siglas,0.09625805616210652
pequeños,0.09616841742957945
dinámica,0.09577969466071616
explicación,0.09571962581540935
final,0.09553438580079703
relacionados,0.09539017319538089
razonamiento,0.09533179293479177
posibilidad,0.09506765065152889
identificación,0.09479457218063704
inducir,0.09420986893703993
call,0.09419443997265982
solicitud,0.09419443997265982
importante,0.09407682138109162
incluso,0.09400977260775205
los,0.09390731920828745
anexo,0.09357953290795365
dimensiones,0.09343252262031762
traducción,0.0932644131200661
asimismo,0.0930528129624768
aunque,0.09288366446867241
penúltimo,0.09238044963195542
implementó,0.09209178364455718
diagnóstico,0.09207117857388401
medida,0.09204369374950785
facilidad,0.091989642687754
refleja,0.0919784315254222
sistemática,0.09189996974727056
interesantes,0.09170591815780708
así,0.09139925127980562
cuantitativo,0.09103299418144647
especial,0.09082202399297978
moderados,0.09079072746919492
