Feature,Coefficient
mostrar,0.26213955728093025
infonor,0.2553167811306804
estudio,0.25010603282416044
revisar,0.24512804217052686
novedosa,0.23915397701225316
negativos,0.23470213489471806
buena,0.2333616878403598
presentación,0.2266155729510968
ver,0.2238581328557519
web,0.22298888830374686
un,0.22154237988983455
requisitos,0.21585470480245506
trabajos,0.21558333538602906
encriptación,0.21258994239949144
algoritmos,0.21151990129812298
10,0.20880478258068774
alto,0.20553242026397814
realiza,0.20321310519239724
cuántica,0.20036821652092318
utilizado,0.19466357272989415
interesante,0.19273096886977903
simulación,0.19234153554259056
sería,0.19151449791730335
aparece,0.189213893918447
nivel,0.1888277137045633
enfoque,0.18606955961077043
debido,0.18058234883671206
dado,0.18026238773176667
autocontenido,0.17848466736812768
propuestas,0.17812224514984976
tema,0.17781524146053795
arquitectura,0.17383375455340544
tipo,0.17274420626120163
relevante,0.17092062139809533
actualidad,0.16973220650219636
desempeño,0.16961685113289715
alguna,0.1682044907186892
frases,0.16721529121334958
través,0.16448004591664356
empírico,0.163036421256302
ambiente,0.1620037461862931
trata,0.1603901117865908
teoría,0.15973336276765696
referencia,0.1597252144195527
tecnologías,0.15859538991665362
puntuación,0.1560947150398574
párrafo,0.1554113346924237
reglas,0.154658501800367
metodológicos,0.15456451198138121
da,0.1524897090798172
adjunto,0.15115775703863246
logra,0.15043705894124082
cual,0.15016049156388467
tienen,0.14758669003555364
hace,0.14684345196719842
didáctica,0.14555049027707317
concretas,0.14554321776115453
algunas,0.1453414549971014
ecuaciones,0.1452930028794936
establece,0.14268541813526486
cámaras,0.14263438579058196
clara,0.14096775099362144
similares,0.14089277757863902
archivo,0.14043096705328373
trabajar,0.14042153034789742
manera,0.1402018942149034
ideal,0.14019514411243805
material,0.14000516382690673
acerca,0.13906264487357362
tecnológica,0.1385052188134669
fallas,0.13762659214151376
necesarios,0.13714649332197032
sea,0.13687908533799137
particulado,0.13623096581866803
necesita,0.1360452283771506
suficientes,0.13599046922132207
integración,0.13596367074971133
proyectos,0.1347130908353238
prototipo,0.1345188170916995
temática,0.13403659187032702
incorporación,0.13285551426193007
claridad,0.1327882066786199
ambicioso,0.13152083168595163
vinculada,0.13140732666982682
zona,0.13140732666982682
pase,0.13140732666982682
citaciones,0.13140732666982682
adaptarlo,0.13140732666982682
inglés,0.13078484944265562
basado,0.13041921462656134
largas,0.13000953539605814
particular,0.12972439880297676
actuales,0.12790376115835442
realizado,0.12764747749817118
conocimiento,0.12744572979546498
múltiples,0.12727234976077595
perfil,0.12704001103932766
colaboración,0.1266884572287609
modelamiento,0.12623669425488673
tecnológicos,0.12614168366679912
cada,0.1256519292781401
deberían,0.12547751853701258
basadas,0.12509239083564952
asume,0.12483476043593479
dada,0.12465539892087026
polos,0.12446944610964807
ello,0.12443166955092667
debería,0.12424280858215776
lo,0.12399888231182868
por,0.12393210456035818
bien,0.12350381481508732
motivo,0.12233694311501891
especialmente,0.12115817102493467
sensores,0.12112022841484335
número,0.12103182612187637
seleccionaron,0.12095525325892026
llegar,0.12026775389153077
han,0.12019775502290694
siguiendo,0.11959298324901871
mencionando,0.11939860932455736
poner,0.11932168055290633
distintas,0.11898704471781187
comunicaciones,0.11879509012348824
obtener,0.11852209185714553
calidad,0.11848594115329321
claro,0.11789047514321734
considerados,0.11771060654508503
funciones,0.11735223887815482
prueba,0.11680991446626389
conciso,0.11669114975779928
fuzzy,0.11669114975779928
extenderse,0.11669114975779928
